alarm_time,alarm_end,duration_h
2018-12-08 13:45:00+00:00,2018-12-09 03:00:00+00:00,13.25
2018-12-11 08:45:00+00:00,2018-12-12 02:30:00+00:00,17.75
2018-12-23 10:30:00+00:00,2018-12-23 12:30:00+00:00,2.0
2018-12-24 18:15:00+00:00,2018-12-24 21:15:00+00:00,3.0
2018-12-25 05:45:00+00:00,2018-12-25 13:15:00+00:00,7.5
2018-12-26 01:45:00+00:00,2018-12-26 09:30:00+00:00,7.75
2018-12-29 00:00:00+00:00,2018-12-29 05:00:00+00:00,5.0
2018-12-29 17:45:00+00:00,2018-12-29 20:15:00+00:00,2.5
2018-12-31 20:00:00+00:00,2018-12-31 21:30:00+00:00,1.5
2019-01-01 19:00:00+00:00,2019-01-01 21:00:00+00:00,2.0
2019-01-26 06:30:00+00:00,2019-01-26 08:30:00+00:00,2.0
2019-01-30 17:30:00+00:00,2019-01-30 17:45:00+00:00,0.25
2019-01-30 20:15:00+00:00,2019-01-30 20:45:00+00:00,0.5
2019-01-31 02:45:00+00:00,2019-01-31 03:30:00+00:00,0.75
2019-01-31 11:00:00+00:00,2019-01-31 13:30:00+00:00,2.5
2019-01-31 23:15:00+00:00,2019-02-01 05:30:00+00:00,6.25
2019-02-01 06:45:00+00:00,2019-02-01 18:45:00+00:00,12.0
2019-02-01 20:15:00+00:00,2019-02-01 20:30:00+00:00,0.25
2019-02-01 22:30:00+00:00,2019-02-01 22:45:00+00:00,0.25
2019-02-02 09:45:00+00:00,2019-02-03 19:45:00+00:00,34.0
2019-02-07 06:30:00+00:00,2019-02-07 08:45:00+00:00,2.25
2019-02-13 12:15:00+00:00,2019-02-13 22:30:00+00:00,10.25
2019-02-14 00:15:00+00:00,2019-02-15 01:30:00+00:00,25.25
2019-02-15 08:45:00+00:00,2019-02-15 10:15:00+00:00,1.5
2019-02-15 12:30:00+00:00,2019-02-15 13:15:00+00:00,0.75
2019-02-16 04:45:00+00:00,2019-02-16 06:15:00+00:00,1.5
2019-02-16 08:00:00+00:00,2019-02-16 13:45:00+00:00,5.75
2019-02-16 21:30:00+00:00,2019-02-17 03:00:00+00:00,5.5
2019-02-17 16:45:00+00:00,2019-02-17 17:00:00+00:00,0.25
2019-02-19 19:15:00+00:00,2019-02-19 19:45:00+00:00,0.5
2019-02-19 21:15:00+00:00,2019-02-19 23:30:00+00:00,2.25
2019-02-25 19:30:00+00:00,2019-02-25 19:45:00+00:00,0.25
2019-02-26 12:45:00+00:00,2019-02-26 19:30:00+00:00,6.75
2019-04-17 14:45:00+00:00,2019-04-17 23:45:00+00:00,9.0
